"","text_code","name","text"
"1","a_teia_ip_recovery","A Teia: IP Recovery","Limit 2 remote servers.
The first time each turn you install a card in the root of or protecting a remote server, you may install 1 card from HQ in the root of or protecting another remote server, ignoring all costs. You cannot score the second card this turn."
"2","ablative_barrier","Ablative Barrier","Threat 3 → When you rez this ice during a run against this server, you may install 1 non-agenda card from HQ or Archives in the root of or protecting another server. <em>(This ability is active if any player has 3 or more agenda points.)</em>
[subroutine] End the run."
"3","adrian_seis","Adrian Seis","Whenever the Runner makes a successful run on this server, play a Psi Game. <em>(Players secretly bid 0–2[credit]. Then each player reveals and spends their bid.)</em> If the bids differ, the Runner cannot access cards other than this upgrade for the remainder of that run. If the bids match, the Runner cannot access this upgrade for the remainder of that run.
When your turn ends, you may move this upgrade to the root of another server."
"4","airbladex_jsrf_ed","AirbladeX (JSRF Ed.)","When you install this hardware, load 3 power counters onto it. When it is empty, trash it.
[interrupt] → <strong>Hosted power counter:</strong> Prevent 1 net damage. Use this ability only during a run.
[interrupt] → <strong>Hosted power counter:</strong> Prevent a ""when encountered"" ability on a piece of ice."
"5","angelique_garza_correa","Angelique Garza Correa","Threat 3 → [click], <strong>1</strong>[credit], <strong>reveal and trash this upgrade from HQ:</strong> Do 1 meat damage. <em>(This ability is active if any player has 3 or more agenda points.)</em>
When the Runner accesses this upgrade while it is rezzed, you may pay 2[credit] to do 2 meat damage."
"6","arissana_rocha_nahu_street_artist","Arissana Rocha Nahu: Street Artist","Once per turn → <strong>0[credit]:</strong> Install 1 program from your grip <em>(paying its install cost)</em>. Use this ability only during a run. When that run ends, trash that program if it is not a <strong>trojan</strong>."
"7","armed_asset_protection","Armed Asset Protection","Gain 3[credit]. Gain 1[credit] for each card type among faceup cards in Archives. If any of those cards are agendas, gain another 2[credit]."
"8","attini","Attini","Threat 3 → The Runner cannot spend credits while subroutines on this ice are resolving. <em>(This ability is active if any player has 3 or more agenda points.)</em>
[subroutine] Do 1 net damage unless the Runner pays 2[credit].
[subroutine] Do 1 net damage unless the Runner pays 2[credit].
[subroutine] Do 1 net damage unless the Runner pays 2[credit]."
"9","audrey_v2","Audrey v2","Whenever you trash a card you are accessing, place 1 virus counter on this program.
Interface → <strong>Hosted virus counter:</strong> Break up to 2 subroutines.
<strong>Trash 1 card from your grip:</strong> +3 strength."
"10","b_1001","B-1001","<strong>Remove 1 tag:</strong> End the run. Use this ability only during a run against another server."
"11","bahia_bands","Bahia Bands","Run any server. If successful, resolve 2 of the following in any order:<ul><li>Draw 2 cards.</li><li>Install 1 card from your grip, paying 1[credit] less.</li><li>Remove 1 tag.</li><li>Place 4[credit] on this event. You can spend hosted credits to pay trash costs for the remainder of this run.</li></ul>"
"12","balanced_coverage","Balanced Coverage","When your turn begins, you may choose a card type to look at the top card of R&D. If that card has the chosen type, you may reveal it and gain 2[credit]."
"13","banner","Banner","Interface → <strong>2[credit]:</strong> Subroutines on the <strong>barrier</strong> you are encountering cannot end the run for the remainder of this encounter."
"14","beatriz_friere_gonzalez","Beatriz Friere Gonzalez","[click][click]<strong>:</strong> Run HQ. If successful, instead of breaching HQ, breach R&D. When you do, access 1 additional card."
"15","behold","Behold!","While the Runner is accessing this asset in R&D, they must reveal it.
When the Runner accesses this asset anywhere except in Archives, you may pay 4[credit] to give them 2 tags."
"16","capybara","Capybara","Whenever you bypass a piece of ice, you may remove this hardware from the game to derez that ice."
"17","chrysopoeian_skimming","Chrysopoeian Skimming","The Corp may reveal an agenda from HQ. If they do, gain [click] and draw 1 card. Otherwise, look at the top 3 cards of R&D."
