"","text_code","name","text"
"1","afshar","Afshar","While this ice is protecting HQ, the Runner cannot break more than 1 of its printed subroutines during each encounter.
[subroutine] The Runner loses 2[credit].
[subroutine] End the run."
"2","always_have_a_backup_plan","Always Have a Backup Plan","Run any server. When that run ends, if it was unsuccessful, you may run the attacked server again, ignoring any additional costs to run. During the second run, whenever you encounter the last piece of ice you encountered during the first run, bypass it."
"3","architect_deployment_test","Architect Deployment Test","When you score this agenda, look at the top 5 cards of R&D. You may install and rez 1 of those cards, ignoring all costs."
"4","az_mccaffrey_mechanical_prodigy","Az McCaffrey: Mechanical Prodigy","The first <strong>job</strong> resource, <strong>connection</strong> resource, or piece of hardware you install each turn costs 1[credit] less to install."
"5","baklan_bochkin","“Baklan” Bochkin","The first time you encounter a piece of ice during each run, place 1 power counter on this resource.
<strong>[trash], X hosted power counters:</strong> Derez the ice you are encountering if its strength is X or less. Take 1 tag."
"6","blueberry_diesel","Blueberry!™ Diesel","Look at the top 2 cards of your stack. You may add 1 of those cards to the bottom of your stack. Draw 2 cards."
"7","bukhgalter","Bukhgalter","Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.
The first time each turn this program fully breaks a piece of ice, gain 2[credit]."
"8","calvin_b4l3y","Calvin B4L3Y","Once per turn → [click]<strong>:</strong> Draw 2 cards.
When the Runner trashes this asset, you may draw 2 cards."
"9","chisel","Chisel","Install only on a piece of ice.
Host ice gets −1 strength for each hosted virus counter.
Whenever you encounter host ice, if its strength is 0 or less, trash it. Otherwise, place 1 virus counter on this program."
"10","climactic_showdown","Climactic Showdown","When your turn begins, remove this resource from the game. Choose a server protected by ice. The Corp may trash 1 piece of ice protecting that server. If they do not, the first time this turn you breach either R&D or HQ, access 2 additional cards."
"11","cold_site_server","Cold Site Server","<strong>[click]:</strong> Place 1 power counter on this upgrade.
As an additional cost to run this server, the Runner must spend [click] and 1[credit] for each hosted power counter.
When your turn begins, remove all hosted power counters."
"12","complete_image","Complete Image","Play only if the Runner has 3 or more agenda points and they made a successful run during their last turn.
After you resolve this operation, your action phase ends.
Choose a card name, then do 1 net damage. If you trash a card with the chosen name this way, repeat this process."
"13","congratulations","Congratulations!","When the Runner passes this ice, gain 1[credit].
[subroutine] Gain 2[credit]. The Runner gains 1[credit]."
"14","csr_campaign","CSR Campaign","When your turn begins, you may draw 1 card."
"15","daily_quest","Daily Quest","Rez only during your action phase.
Whenever the Runner makes a successful run on this server, they gain 2[credit].
When your turn begins, if the Runner did not make a successful run on this server during their last turn, gain 3[credit]."
"16","demolisher","Demolisher","+1[mu]
The trash cost of each Corp card is lowered by 1[credit].
The first time each turn you trash a Corp card, gain 1[credit].
Limit 1 <strong>console</strong> per player."
"17","direct_access","Direct Access","While you are resolving this event, each playerʼs identity loses all abilities.
Run any server. When that run ends, you may shuffle this event into your stack."
"18","divested_trust","Divested Trust","Whenever the Runner steals another agenda, you may forfeit this agenda to gain 5[credit] and add the stolen agenda to HQ."
"19","fencer_fueno","Fencer Fueno","When your turn begins and whenever you steal an agenda, place 1[credit] on this resource.
Whenever you make a successful run, you can spend hosted credits for the remainder of that run.
When your turn ends, if there are 3 or more hosted credits, you must pay 1[credit] or trash this resource."
"20","flip_switch","Flip Switch","Use this hardware only during your turn.
[trash]<strong>:</strong> Jack out.
[trash]<strong>:</strong> Remove 1 tag.
[interrupt] → [trash]<strong>:</strong> Reduce the base trace strength of a trace to 0."
"21","focus_group","Focus Group","Play only if the Runner made a successful run during their last turn.
Choose a card type, then reveal the grip. Choose a value for X equal to or less than the number of revealed cards of the chosen type. You may pay X[credit] to place X advancement counters on 1 installed card."
"22","fully_operational","Fully Operational","Gain 2[credit] or draw 2 cards. Repeat this process for each remote server that has a card in its root and is protected by ice."
"23","game_over","Game Over","Play only if the Runner stole an agenda during their last turn.
Choose a Runner card type. Trash all installed non-<strong>icebreaker</strong> cards of the chosen type. For each card that would be trashed this way, the Runner may pay 3[credit] to prevent that card from being trashed.
Take 1 bad publicity."
"24","gauss","Gauss","When you install this program, it gets +3 strength for the remainder of the turn.
Interface → <strong>1[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>2[credit]:</strong> +2 strength."
"25","hagen","Hagen","This ice gets −1 strength for each installed <strong>icebreaker</strong>.
[subroutine] Trash 1 installed program that is not a <strong>decoder</strong>, <strong>fracter</strong>, or <strong>killer</strong>.
[subroutine] End the run."
"26","hyoubu_institute_absolute_clarity","Hyoubu Institute: Absolute Clarity","The first time each turn you reveal a card, gain 1[credit].
<strong>[click]:</strong> Reveal 1 card from the grip at random or the top card of the stack."
"27","in_the_groove","In the Groove","Play only as your first [click].
For the remainder of this turn, whenever you install a card with a printed install cost of 1[credit] or greater, draw 1 card or gain 1[credit]."
"28","increased_drop_rates","Increased Drop Rates","While the Runner is accessing this upgrade in R&D, they must reveal it.
When the Runner accesses this upgrade, remove 1 bad publicity unless they take 1 tag."
"29","isolation","Isolation","As an additional cost to play this event, trash 1 installed resource.
Gain 7[credit]."
"30","khusyuk","Khusyuk","Run R&D. If successful, instead of breaching R&D, choose an install cost greater than 0[credit]. The Corp sets aside the top X cards of R&D faceup, where X is equal to the number of your installed cards with that printed install cost, up to 6. Access 1 of the set-aside cards. The Corp shuffles the set-aside cards into R&D."
"31","lat_ethical_freelancer","Lat: Ethical Freelancer","When your discard phase ends, if you have the same number of cards in your grip as the Corp has in HQ, you may draw 1 card."
