"Name","ID","Type","Side","Coverage","Notes"
"Afterimage","afterimage","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Akhet","akhet","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Aniccam","aniccam","hardware","runner","Installable","Runner install AI handles selection"
"Argus Crackdown","argus_crackdown","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Bass CH1R180G4","bass_ch1r180g4","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Bellona","bellona","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Boomerang","boomerang","hardware","runner","Installable","Runner install AI handles selection"
"Bravado","bravado","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Buffer Drive","buffer_drive","hardware","runner","Installable","Runner install AI handles selection"
"Cayambe Grid","cayambe_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Cerebral Overwriter","cerebral_overwriter","asset","corp","Installable","SCG installs; no modeled click ability"
"Colossus","colossus","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Cordyceps","cordyceps","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Cyberdex Sandbox","cyberdex_sandbox","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Cybertrooper Talut","cybertrooper_talut","resource","runner","Installable","Runner install AI handles selection"
"Daily Casts","daily_casts","resource","runner","Installable","Runner install AI handles selection"
"Devil Charm","devil_charm","hardware","runner","Installable","Runner install AI handles selection"
"Digital Rights Management","digital_rights_management","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Drafter","drafter","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"DreamNet","dreamnet","resource","runner","Installable","Runner install AI handles selection"
"Earth Station: SEA Headquarters","earth_station_sea_headquarters","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Engram Flush","engram_flush","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Euler","euler","program","runner","Installable","Runner install AI handles selection and MU tracking"
"F2P","f2p","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"False Lead","false_lead","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Flower Sermon","flower_sermon","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Gachapon","gachapon","hardware","runner","Installable","Runner install AI handles selection"
"GameNET: Where Dreams are Real","gamenet_where_dreams_are_real","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Ganked!","ganked","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Gold Farmer","gold_farmer","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Harmony AR Therapy","harmony_ar_therapy","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Hoshiko Shiro: Untold Protagonist","hoshiko_shiro_untold_protagonist","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Hyoubu Precog Manifold","hyoubu_precog_manifold","operation","corp","Explicit","Specific projection in project_corp_action match block"
