"","text_code","name","text"
"1","above_the_law","Above the Law","When you score this agenda, you may trash 1 installed resource.
Limit 1 per deck."
"2","amaze_amusements","AMAZE Amusements","Persistent → Whenever a run on this server ends, if the Runner stole any agendas during that run, give the Runner 2 tags. <em>(If the Runner trashes this card while accessing it, this ability still applies for the remainder of this run.)</em>"
"3","anoetic_void","Anoetic Void","Whenever the Runner approaches this server, you may pay 2[credit] and trash 2 cards from HQ. If you do, end the run."
"4","ansel_1_0","Ansel 1.0","<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Trash 1 installed Runner card.
[subroutine] You may install 1 card from HQ or Archives.
[subroutine] The Runner cannot steal or trash Corp cards for the remainder of this run."
"5","ballista","Ballista","[subroutine] Trash 1 installed program or end the run."
"6","botulus","Botulus","Install only on a piece of ice. <em>(If the host ice is uninstalled, this program is trashed.)</em>
When you install this program and when your turn begins, place 1 virus counter on this program.
<strong>Hosted virus counter:</strong> Break 1 subroutine on host ice."
"7","bran_1_0","Brân 1.0","<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] You may install 1 piece of ice from HQ or Archives directly inward from this ice, ignoring all costs.
[subroutine] End the run.
[subroutine] End the run."
"8","buzzsaw","Buzzsaw","Interface → <strong>1[credit]:</strong> Break up to 2 <strong>code gate</strong> subroutines.
<strong>3[credit]:</strong> +1 strength."
"9","carmen","Carmen","If you made a successful run this turn, this program costs 2[credit] less to install.
Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +3 strength."
"10","carnivore","Carnivore","+1[mu]
Access, once per turn → <strong>Trash 2 cards from your grip:</strong> Trash the card you are accessing.
Limit 1 <strong>console</strong> per player."
"11","clearinghouse","Clearinghouse","You can advance this asset.
When your turn begins, you may trash this asset to do 1 meat damage for each hosted advancement counter."
