"Name","ID","Type","Side","Coverage","Notes"
"Active Policing","active_policing","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Alarm Clock","alarm_clock","hardware","runner","Installable","Runner install AI handles selection"
"Amanuensis","amanuensis","hardware","runner","Installable","Runner install AI handles selection"
"Amelia Earhart","amelia_earhart","resource","runner","Installable","Runner install AI handles selection"
"Arruaceiras Crew","arruaceiras_crew","resource","runner","Installable","Runner install AI handles selection"
"Ashen Epilogue","ashen_epilogue","event","runner","Auto (partial)","Partial auto-projection; unmodelable effects not captured"
"Boi-tatá","boi_tata","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Boto","boto","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Brasília Government Grid","brasilia_government_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Bring Them Home","bring_them_home","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Burner","burner","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Business As Usual","business_as_usual","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Capacitor","capacitor","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Cataloguer","cataloguer","hardware","runner","Installable","Runner install AI handles selection"
"Charlotte Caçador","charlotte_cacador","asset","corp","Installable","SCG installs; no modeled click ability"
"Cloud Eater","cloud_eater","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Coalescence","coalescence","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Cohort Guidance Program","cohort_guidance_program","asset","corp","Installable","SCG installs; no modeled click ability"
"Corporate Hospitality","corporate_hospitality","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Cupellation","cupellation","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Descent","descent","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Eminent Domain","eminent_domain","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Eye for an Eye","eye_for_an_eye","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Friend of a Friend","friend_of_a_friend","resource","runner","Installable","Runner install AI handles selection"
"Hammer","hammer","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Hearts and Minds","hearts_and_minds","asset","corp","Installable","SCG installs; no modeled click ability"
"Heliamphora","heliamphora","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Isaac Liberdade","isaac_liberdade","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Janaína “JK” Dumont Kindelán","janaina_jk_dumont_kindelan","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Jeitinho","jeitinho","hardware","runner","Installable","Runner install AI handles selection"
"Juli Moreira Lee","juli_moreira_lee","resource","runner","Installable","Runner install AI handles selection"
"Kingmaking","kingmaking","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Lightning Laboratory","lightning_laboratory","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Lobisomem","lobisomem","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Logjam","logjam","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Lycian Multi-Munition","lycian_multi_munition","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Malandragem","malandragem","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Manuel Lattes de Moura","manuel_lattes_de_moura","resource","runner","Installable","Runner install AI handles selection"
"Meeting of Minds","meeting_of_minds","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Muse","muse","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Nuvem SA: Law of the Land","nuvem_sa_law_of_the_land","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Physarum Entangler","physarum_entangler","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Piranhas","piranhas","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Pressure Spike","pressure_spike","program","runner","Installable","Runner install AI handles selection and MU tracking"
"“Pretty” Mary da Silva","pretty_mary_da_silva","resource","runner","Installable","Runner install AI handles selection"
"Privileged Access","privileged_access","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Sebastião Souza Pessoa: Activist Organizer","sebastiao_souza_pessoa_activist_organizer","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"See How They Run","see_how_they_run","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Seraph","seraph","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Sisyphus Protocol","sisyphus_protocol","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Sorocaban Blade","sorocaban_blade","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Spree","spree","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Stoke the Embers","stoke_the_embers","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Sudden Commandment","sudden_commandment","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"The Basalt Spire","the_basalt_spire","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"The Holo Man","the_holo_man","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"The Powers That Be","the_powers_that_be","asset","corp","Installable","SCG installs; no modeled click ability"
"The Wizard’s Chest","the_wizards_chest","hardware","runner","Installable","Runner install AI handles selection"
"Thunderbolt Armaments: Peace Through Power","thunderbolt_armaments_peace_through_power","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Tributary","tributary","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Trick Shot","trick_shot","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Valentina Ferreira Carvalho","valentina_ferreira_carvalho","resource","runner","Installable","Runner install AI handles selection"
"Warm Reception","warm_reception","asset","corp","Installable","SCG installs; no modeled click ability"
"Window of Opportunity","window_of_opportunity","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Working Prototype","working_prototype","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
