"","text_code","name","text"
"1","abaasy","Abaasy","The first time each turn this program fully breaks a piece of ice, you may trash 1 card from your grip to draw 1 card.
Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>2[credit]:</strong> +2 strength."
"2","ampere_cybernetics_for_anyone","Ampère: Cybernetics For Anyone","Your deck cannot include more than 1 copy of any card.
Your deck may include up to 2 different agenda cards from each Corp faction."
"3","anvil","Anvil","When the Runner encounters this ice, you may trash 1 of your other installed cards. If you do, the Runner cannot break this iceʼs printed subroutines for the remainder of this encounter.
[subroutine] Gain 1[credit]. The Runner loses 1[credit].
[subroutine] The Runner trashes 1 of their installed cards."
"4","asmund_pudlat","Asmund Pudlat","When you install this resource, search your stack for up to 2 <strong>virus</strong> or <strong>weapon</strong> cards with different names. Host those cards faceup on this resource. <em>(They are not installed.)</em>
When your turn begins, you may add 1 hosted card to your grip. If there are no more hosted cards, trash this resource."
"5","basilar_synthgland_2kvj","Basilar Synthgland 2KVJ","When you install this hardware, suffer 2 core damage.
You get +1 allotted [click] for each of your turns."
"6","bloop","Bloop","As an additional cost to rez this ice, derez another piece of <strong>harmonic</strong> ice.
[subroutine] Do 1 core damage.
[subroutine] Trash 1 installed program.
[subroutine] Trash 1 installed program."
"7","concerto","Concerto","Reveal the top card of your stack and place credits equal to its printed play or install cost on this event. Add the revealed card to your grip.
Run any server. You can spend hosted credits during that run."
"8","distributed_tracing","Distributed Tracing","As an additional cost to play this operation, spend [click].
Play only if the Runner stole an agenda during their last turn.
Give the Runner 1 tag."
"9","djupstad_grid","Djupstad Grid","Whenever you score an agenda from the root of this server, do 1 core damage.
Limit 1 <strong>region</strong> per server."
"10","dr_nuka_vrolyck","Dr. Nuka Vrolyck","When you install this resource, load 2 power counters onto it. When it is empty, trash it.
[click], <strong>hosted power counter:</strong> Draw 3 cards."
"11","dr_vientiane_keeling","Dr. Vientiane Keeling","When you rez this asset and when your turn begins, place 1 power counter on this asset.
The Runner gets -1 maximum hand size for each hosted power counter."
"12","end_of_the_line","End of the Line","As an additional cost to play this operation, remove 1 tag.
Do 4 meat damage."
"13","finality","Finality","As an additional cost to play this event, suffer 1 core damage.
Run R&D. If successful, access 3 additional cards when you breach R&D."
"14","flux_capacitor","Flux Capacitor","Install only on a piece of ice.
The first time you break a subroutine during each encounter with host ice, you may charge 1 of your installed cards. <em>(Add 1 power counter to a card that already has one.)</em>"
"15","freedom_of_information","Freedom of Information","This agenda gets -1 advancement requirement for each tag the Runner has."
"16","gaslight","Gaslight","When your turn begins, you may trash this asset. If you do, search R&D for an operation and reveal it. <em>(Shuffle R&D after searching it.)</em> Add that operation to HQ."
"17","hafrun","Hafrún","When you rez this ice during a run against this server, you may trash 1 card from HQ. If you do, choose 1 installed Runner card. That cardʼs abilities cannot break subroutines for the remainder of that run.
[subroutine] End the run."
"18","hippocampic_mechanocytes","Hippocampic Mechanocytes","When you install this hardware, place 2 power counters on it and suffer 1 meat damage.
You get +1 maximum hand size for each hosted power counter."
"19","hostile_architecture","Hostile Architecture","The first time each turn the Runner trashes any of your installed cards <em>(including this asset)</em>, do 2 meat damage."
"20","hush","Hush","Install only on a piece of ice.
Host ice cannot gain abilities and loses all abilities except its printed subroutines.
<strong>[click]:</strong> Host this program on another installed piece of ice."
"21","hybrid_release","Hybrid Release","When you score this agenda, you may install 1 facedown card from Archives."
"22","hypoxia","Hypoxia","Play only if the Runner is tagged.
Do 1 core damage. The Runner gets -1 allotted [click] for their next turn.
Remove this operation from the game."
