"Name","ID","Type","Side","Coverage","Notes"
"Anemone","anemone","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Artificial Cryptocrash","artificial_cryptocrash","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Avgustina Ivanovskaya","avgustina_ivanovskaya","resource","runner","Installable","Runner install AI handles selection"
"Azef Protocol","azef_protocol","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Backroom Machinations","backroom_machinations","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Backstitching","backstitching","resource","runner","Installable","Runner install AI handles selection"
"Bathynomus","bathynomus","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Begemot","begemot","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Big Deal","big_deal","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Bladderwort","bladderwort","asset","corp","Installable","SCG installs; no modeled click ability"
"Blood in the Water","blood_in_the_water","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Captain Padma Isbister: Intrepid Explorer","captain_padma_isbister_intrepid_explorer","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Carpe Diem","carpe_diem","event","runner","Auto (partial)","Partial auto-projection; unmodelable effects not captured"
"Cat's Cradle","cats_cradle","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Cezve","cezve","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Chastushka","chastushka","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Chekist Scion","chekist_scion","asset","corp","Installable","SCG installs; no modeled click ability"
"Daeg, First Net-Cat","daeg_first_net_cat","resource","runner","Installable","Runner install AI handles selection"
"Deep Dive","deep_dive","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Drago Ivanov","drago_ivanov","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Echo","echo","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Élivágar Bifurcation","elivagar_bifurcation","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Endurance","endurance","hardware","runner","Installable","Runner install AI handles selection"
"Envelopment","envelopment","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Environmental Testing","environmental_testing","resource","runner","Installable","Runner install AI handles selection"
"Esâ Afontov: Eco-Insurrectionist","esa_afontov_eco_insurrectionist","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Extract","extract","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Ghosttongue","ghosttongue","hardware","runner","Installable","Runner install AI handles selection"
"Hákarl 1.0","hakarl_1_0","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Hyperbaric","hyperbaric","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Into the Depths","into_the_depths","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Ivik","ivik","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Light the Fire!","light_the_fire","resource","runner","Installable","Runner install AI handles selection"
"Marrow","marrow","hardware","runner","Installable","Runner install AI handles selection"
"Maskirovka","maskirovka","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Mavirus","mavirus","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Mestnichestvo","mestnichestvo","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Midnight-3 Arcology","midnight_3_arcology","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Mitosis","mitosis","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Moon Pool","moon_pool","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Mutually Assured Destruction","mutually_assured_destruction","operation","corp","Explicit","Specific projection in project_corp_action match block"
"No Free Lunch","no_free_lunch","resource","runner","Installable","Runner install AI handles selection"
"Nyusha ""Sable"" Sintashta: Symphonic Prodigy","nyusha_sable_sintashta_symphonic_prodigy","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Ob Superheavy Logistics: Extract. Export. Excel.","ob_superheavy_logistics_extract_export_excel","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"PAN-Weave","pan_weave","hardware","runner","Installable","Runner install AI handles selection"
"Pinhole Threading","pinhole_threading","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Pravdivost Consulting: Political Solutions","pravdivost_consulting_political_solutions","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Propeller","propeller","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Refuge Campaign","refuge_campaign","asset","corp","Installable","SCG installs; no modeled click ability"
"Regenesis","regenesis","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Revolver","revolver","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Rigging Up","rigging_up","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Running Hot","running_hot","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"Stavka","stavka","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Steelskin Scarring","steelskin_scarring","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"Stoneship Chart Room","stoneship_chart_room","resource","runner","Installable","Runner install AI handles selection"
"Svyatogor Excavator","svyatogor_excavator","asset","corp","Installable","SCG installs; no modeled click ability"
"The Twinning","the_twinning","resource","runner","Installable","Runner install AI handles selection"
"Trieste Model Bioroids","trieste_model_bioroids","asset","corp","Installable","SCG installs; no modeled click ability"
"Trust Operation","trust_operation","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Ubiquitous Vig","ubiquitous_vig","asset","corp","Installable","SCG installs; no modeled click ability"
"Vasilisa","vasilisa","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Virtuoso","virtuoso","hardware","runner","Installable","Runner install AI handles selection"
"Vladisibirsk City Grid","vladisibirsk_city_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Wave","wave","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
