card_name,card_id,full_text_name,card_text
A Teia: IP Recovery,a_teia_ip_recovery,A Teia: IP Recovery,"Limit 2 remote servers. The first time each turn you install a card in the root of or protecting a remote server, you may install 1 card from HQ in the root of or protecting another remote server, ignoring all costs. You cannot score the second card this turn."
Ablative Barrier,ablative_barrier,Ablative Barrier,"Threat 3 -> When you rez this ice during a run against this server, you may install 1 non-agenda card from HQ or Archives in the root of or protecting another server. (This ability is active if any player has 3 or more agenda points.) Subroutine End the run."
Adrian Seis,adrian_seis,Adrian Seis,"Whenever the Runner makes a successful run on this server, play a Psi Game. (Players secretly bid 0-2 credits. Then each player reveals and spends their bid.) If the bids differ, the Runner cannot access cards other than this upgrade for the remainder of that run. If the bids match, the Runner cannot access this upgrade for the remainder of that run. When your turn ends, you may move this upgrade to the root of another server."
AirbladeX (JSRF Ed.),airbladex_jsrf_ed,AirbladeX (JSRF Ed.),"When you install this hardware, load 3 power counters onto it. When it is empty, trash it. Interrupt -> Hosted power counter: Prevent 1 net damage. Use this ability only during a run. Interrupt -> Hosted power counter: Prevent a ""when encountered"" ability on a piece of ice."
Angelique Garza Correa,angelique_garza_correa,Angelique Garza Correa,"Threat 3 -> click, 1 credit, reveal and trash this upgrade from HQ: Do 1 meat damage. (This ability is active if any player has 3 or more agenda points.) When the Runner accesses this upgrade while it is rezzed, you may pay 2 credits to do 2 meat damage."
Arissana Rocha Nahu: Street Artist,arissana_rocha_nahu_street_artist,Arissana Rocha Nahu: Street Artist,"Once per turn -> 0[credit]: Install 1 program from your grip (paying its install cost). Use this ability only during a run. When that run ends, trash that program if it is not a trojan."
Armed Asset Protection,armed_asset_protection,Armed Asset Protection,"Gain 3 credits. Gain 1 credit for each card type among faceup cards in Archives. If any of those cards are agendas, gain another 2 credits."
Attini,attini,Attini,Threat 3 -> The Runner cannot spend credits while subroutines on this ice are resolving. (This ability is active if any player has 3 or more agenda points.) Subroutine Do 1 net damage unless the Runner pays 2 credits. Subroutine Do 1 net damage unless the Runner pays 2 credits. Subroutine Do 1 net damage unless the Runner pays 2 credits.
Audrey v2,audrey_v2,Audrey v2,"Whenever you trash a card you are accessing, place 1 virus counter on this program. Interface -> Hosted virus counter: Break up to 2 subroutines. Trash 1 card from your grip: +3 strength."
B-1001,b_1001,B-1001,Remove 1 tag: End the run. Use this ability only during a run against another server.
Bahia Bands,bahia_bands,Bahia Bands,"Run any server. If successful, resolve 2 of the following in any order: * Draw 2 cards. * Install 1 card from your grip, paying 1 credit less. * Remove 1 tag. * Place 4 credits on this event. You can spend hosted credits to pay trash costs for the remainder of this run."
Balanced Coverage,balanced_coverage,Balanced Coverage,"When your turn begins, you may choose a card type to look at the top card of R&D. If that card has the chosen type, you may reveal it and gain 2 credits."
Banner,banner,Banner,Interface -> 2 credits: Subroutines on the barrier you are encountering cannot end the run for the remainder of this encounter.
Beatriz Friere Gonzalez,beatriz_friere_gonzalez,Beatriz Friere Gonzalez,"click click: Run HQ. If successful, instead of breaching HQ, breach R&D. When you do, access 1 additional card."
Behold!,behold,Behold!,"While the Runner is accessing this asset in R&D, they must reveal it. When the Runner accesses this asset anywhere except in Archives, you may pay 4 credits to give them 2 tags."
Capybara,capybara,Capybara,"Whenever you bypass a piece of ice, you may remove this hardware from the game to derez that ice."
Chrysopoeian Skimming,chrysopoeian_skimming,Chrysopoeian Skimming,"The Corp may reveal an agenda from HQ. If they do, gain click and draw 1 card. Otherwise, look at the top 3 cards of R&D."
Curupira,curupira,Curupira,"Whenever you encounter a barrier, you may spend 3 hosted power counters to bypass it. Whenever this program fully breaks a piece of ice, place 1 power counter on this program. Interface -> 1 credit: Break 1 barrier subroutine. 1 credit: +1 strength."
Cybersand Harvester,cybersand_harvester,Cybersand Harvester,"Whenever you rez a piece of ice, place 2 credits on this asset. You can spend hosted credits to pay install costs. trash: Take all credits from this asset."
Daniela Jorge Inácio,daniela_jorge_inacio,Daniela Jorge Inacio,"As an additional cost to trash this upgrade, the Runner must add 2 cards from the grip at random to the bottom of the stack. Persistent -> As an additional cost to steal an agenda from this server or its root, the Runner must add 2 cards from the grip at random to the bottom of the stack."
"Debbie ""Downtown"" Moreira",debbie_downtown_moreira,"Debbie ""Downtown"" Moreira","Threat 4 -> When you install this resource, place 2 credits on it. (This ability is active if any player has 4 or more agenda points.) Whenever you play a run event, place 1 credit on this resource. click: Run any server. You can spend hosted credits during that run."
Epiphany Analytica: Nations Undivided,epiphany_analytica_nations_undivided,Epiphany Analytica: Nations Undivided,"The first time each turn the Runner steals or trashes a Corp card, place 1 power counter on this identity. click, hosted power counter: Look at the top 3 cards of R&D. You may install 1 of those cards."
