"Name","ID","Type","Side","Coverage","Notes"
"Aircheck","aircheck","event","runner","Auto (partial)","Partial auto-projection; unmodelable effects not captured"
"Ansel 2.0","ansel_2_0","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Baker","baker","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Beta Build","beta_build","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Borrowed Goods","borrowed_goods","hardware","runner","Installable","Runner install AI handles selection"
"Caveat Emptor","caveat_emptor","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Chain Reaction","chain_reaction","event","runner","Ignored","No projection, no hint — not offered as a candidate by _add_events()"
"Corsair","corsair","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Cultivate","cultivate","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Editorial Division: Ad Nihilum","editorial_division_ad_nihilum","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Esca","esca","asset","corp","Installable","SCG installs; no modeled click ability"
"Event Horizon","event_horizon","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"ezaM","ezam","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Flagship","flagship","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Flood the Market","flood_the_market","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Flywheel","flywheel","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Grubber","grubber","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Hackerspace","hackerspace","resource","runner","Installable","Runner install AI handles selection"
"Hiram “0mission” Svensson: Shadow of the Past","hiram_0mission_svensson_shadow_of_the_past","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Hype Machine","hype_machine","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Knowledge Seeker","knowledge_seeker","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Kompromat","kompromat","event","runner","Ignored","No projection, no hint — not offered as a candidate by _add_events()"
"Lampades","lampades","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Let Them Dream","let_them_dream","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Lethe","lethe","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Lionsmane","lionsmane","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Lotus Haze","lotus_haze","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Luana Campos","luana_campos","asset","corp","Installable","SCG installs; no modeled click ability"
"Magistrate Revontulet","magistrate_revontulet","asset","corp","Installable","SCG installs; no modeled click ability"
"Méliès City Luxury Line","melies_city_luxury_line","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Méliès U: Only the Brightest","melies_u_only_the_brightest","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Methuselah","methuselah","hardware","runner","Installable","Runner install AI handles selection"
"Myōshu","myoshu","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Nihilo Agent","nihilo_agent","asset","corp","Installable","SCG installs; no modeled click ability"
"Nurse Hạnh","nurse_hanh","resource","runner","Installable","Runner install AI handles selection"
"Paywall","paywall","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Perfect Recall","perfect_recall","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Read-Write Share","read_write_share","program","runner","Installable","Runner install AI handles selection and MU tracking"
"realloc()","realloc","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Reanimation Protocol","reanimation_protocol","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Retirement Plan","retirement_plan","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Reverb","reverb","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Rotary","rotary","hardware","runner","Installable","Runner install AI handles selection"
"Sacrifice Zone Expansion","sacrifice_zone_expansion","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Scapegoat","scapegoat","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Sell Out","sell_out","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"Shackleton Grid","shackleton_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Sipa","sipa","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Sleipnir","sleipnir","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Stick and Poke","stick_and_poke","resource","runner","Installable","Runner install AI handles selection"
"Stowaway","stowaway","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Synchrocyclotron","synchrocyclotron","asset","corp","Installable","SCG installs; no modeled click ability"
"Tailgate","tailgate","event","runner","Ignored","No projection, no hint — not offered as a candidate by _add_events()"
"Take a Dive","take_a_dive","event","runner","Ignored","No projection, no hint — not offered as a candidate by _add_events()"
"The Red Room","the_red_room","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"The Tungsten Tailor","the_tungsten_tailor","hardware","runner","Installable","Runner install AI handles selection"
"Tocsin","tocsin","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
