"Name","ID","Type","Side","Coverage","Notes"
"Afshar","afshar","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Always Have a Backup Plan","always_have_a_backup_plan","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Architect Deployment Test","architect_deployment_test","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Az McCaffrey: Mechanical Prodigy","az_mccaffrey_mechanical_prodigy","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"“Baklan” Bochkin","baklan_bochkin","resource","runner","Installable","Runner install AI handles selection"
"Blueberry!™ Diesel","blueberry_diesel","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Bukhgalter","bukhgalter","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Calvin B4L3Y","calvin_b4l3y","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Chisel","chisel","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Climactic Showdown","climactic_showdown","resource","runner","Installable","Runner install AI handles selection"
"Cold Site Server","cold_site_server","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Complete Image","complete_image","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Congratulations!","congratulations","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"CSR Campaign","csr_campaign","asset","corp","Installable","SCG installs; no modeled click ability"
"Daily Quest","daily_quest","asset","corp","Installable","SCG installs; no modeled click ability"
"Demolisher","demolisher","hardware","runner","Installable","Runner install AI handles selection"
"Direct Access","direct_access","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Divested Trust","divested_trust","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Fencer Fueno","fencer_fueno","resource","runner","Installable","Runner install AI handles selection"
"Flip Switch","flip_switch","hardware","runner","Installable","Runner install AI handles selection"
"Focus Group","focus_group","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Fully Operational","fully_operational","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Game Over","game_over","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Gauss","gauss","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Hagen","hagen","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Hyoubu Institute: Absolute Clarity","hyoubu_institute_absolute_clarity","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"In the Groove","in_the_groove","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Increased Drop Rates","increased_drop_rates","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Isolation","isolation","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"Khusyuk","khusyuk","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Lat: Ethical Freelancer","lat_ethical_freelancer","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Letheia Nisei","letheia_nisei","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Loot Box","loot_box","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Lucky Charm","lucky_charm","hardware","runner","Installable","Runner install AI handles selection"
"Masterwork (v37)","masterwork_v37","hardware","runner","Installable","Runner install AI handles selection"
"MirrorMorph: Endless Iteration","mirrormorph_endless_iteration","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Nanoetching Matrix","nanoetching_matrix","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Pelangi","pelangi","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Project Yagi-Uda","project_yagi_uda","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Public Health Portal","public_health_portal","asset","corp","Installable","SCG installs; no modeled click ability"
"Red Level Clearance","red_level_clearance","operation","corp","Auto (full)","Complete projection auto-derived from abilities.json via get_corp_ai_projection()"
"Reduced Service","reduced_service","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Rejig","rejig","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Remastered Edition","remastered_edition","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Rezeki","rezeki","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Rime","rime","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Roughneck Repair Squad","roughneck_repair_squad","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Saisentan","saisentan","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Sandstone","sandstone","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"SDS Drone Deployment","sds_drone_deployment","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Secure and Protect","secure_and_protect","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Spec Work","spec_work","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
"Stargate","stargate","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Sting!","sting","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Storgotic Resonator","storgotic_resonator","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Supercorridor","supercorridor","hardware","runner","Installable","Runner install AI handles selection"
