"Name","ID","Type","Side","Coverage","Notes"
"Above the Law","above_the_law","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"AMAZE Amusements","amaze_amusements","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Anoetic Void","anoetic_void","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Ansel 1.0","ansel_1_0","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Ballista","ballista","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Botulus","botulus","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Brân 1.0","bran_1_0","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Buzzsaw","buzzsaw","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Carmen","carmen","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Carnivore","carnivore","hardware","runner","Installable","Runner install AI handles selection"
"Clearinghouse","clearinghouse","asset","corp","Installable","SCG installs; no modeled click ability"
"Cleaver","cleaver","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Conduit","conduit","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Cookbook","cookbook","resource","runner","Installable","Runner install AI handles selection"
"Creative Commission","creative_commission","event","runner","Auto (partial)","Partial auto-projection; unmodelable effects not captured"
"Diviner","diviner","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Docklands Pass","docklands_pass","hardware","runner","Installable","Runner install AI handles selection"
"DZMZ Optimizer","dzmz_optimizer","hardware","runner","Installable","Runner install AI handles selection"
"Echelon","echelon","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Fermenter","fermenter","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Funhouse","funhouse","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Government Subsidy","government_subsidy","operation","corp","Explicit+Auto","Hardcoded projection in match block; also auto-derivable (redundant, no conflict)"
"Haas-Bioroid: Precision Design","haas_bioroid_precision_design","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Hansei Review","hansei_review","operation","corp","Explicit+Auto","Hardcoded projection in match block; also auto-derivable (redundant, no conflict)"
"Hedge Fund","hedge_fund","operation","corp","Explicit+Auto","Hardcoded projection in match block; also auto-derivable (redundant, no conflict)"
"Jailbreak","jailbreak","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Jinteki: Restoring Humanity","jinteki_restoring_humanity","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Karunā","karuna","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Leech","leech","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Longevity Serum","longevity_serum","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Luminal Transubstantiation","luminal_transubstantiation","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Malapert Data Vault","malapert_data_vault","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Manegarm Skunkworks","manegarm_skunkworks","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Marjanah","marjanah","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Mayfly","mayfly","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Mutual Favor","mutual_favor","event","runner","Auto (partial)","Partial auto-projection; unmodelable effects not captured"
"NBN: Reality Plus","nbn_reality_plus","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Neurospike","neurospike","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Nico Campaign","nico_campaign","asset","corp","Installable","SCG installs; no modeled click ability"
"Offworld Office","offworld_office","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Orbital Superiority","orbital_superiority","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Overclock","overclock","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Palisade","palisade","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Pantograph","pantograph","hardware","runner","Installable","Runner install AI handles selection"
"Pennyshaver","pennyshaver","hardware","runner","Installable","Runner install AI handles selection"
"Pharos","pharos","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Ping","ping","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Predictive Planogram","predictive_planogram","operation","corp","Explicit+Auto","Hardcoded projection in match block; also auto-derivable (redundant, no conflict)"
"Public Trail","public_trail","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Red Team","red_team","resource","runner","Installable","Runner install AI handles selection"
"Regolith Mining License","regolith_mining_license","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
