"Name","ID","Type","Side","Coverage","Notes"
"Abaasy","abaasy","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Ampère: Cybernetics For Anyone","ampere_cybernetics_for_anyone","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Anvil","anvil","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Asmund Pudlat","asmund_pudlat","resource","runner","Installable","Runner install AI handles selection"
"Basilar Synthgland 2KVJ","basilar_synthgland_2kvj","hardware","runner","Installable","Runner install AI handles selection"
"Bloop","bloop","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Concerto","concerto","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Distributed Tracing","distributed_tracing","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Djupstad Grid","djupstad_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Dr. Nuka Vrolyck","dr_nuka_vrolyck","resource","runner","Installable","Runner install AI handles selection"
"Dr. Vientiane Keeling","dr_vientiane_keeling","asset","corp","Installable","SCG installs; no modeled click ability"
"End of the Line","end_of_the_line","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Finality","finality","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Flux Capacitor","flux_capacitor","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Freedom of Information","freedom_of_information","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Gaslight","gaslight","asset","corp","Installable","SCG installs; no modeled click ability"
"Hafrún","hafrun","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Hippocampic Mechanocytes","hippocampic_mechanocytes","hardware","runner","Installable","Runner install AI handles selection"
"Hostile Architecture","hostile_architecture","asset","corp","Installable","SCG installs; no modeled click ability"
"Hush","hush","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Hybrid Release","hybrid_release","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Hypoxia","hypoxia","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Info Bounty","info_bounty","resource","runner","Installable","Runner install AI handles selection"
"Issuaq Adaptics: Sustaining Diversity","issuaq_adaptics_sustaining_diversity","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"K2CP Turbine","k2cp_turbine","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Katorga Breakout","katorga_breakout","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Kimberlite Field","kimberlite_field","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Klevetnik","klevetnik","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Matryoshka","matryoshka","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Mr. Hendrik","mr_hendrik","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Nanisivik Grid","nanisivik_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Nanuq","nanuq","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Nga","nga","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Nightmare Archive","nightmare_archive","asset","corp","Installable","SCG installs; no modeled click ability"
"Nonequivalent Exchange","nonequivalent_exchange","operation","corp","Explicit+Auto","Hardcoded projection in match block; also auto-derivable (redundant, no conflict)"
"Nova Initiumia: Catalyst & Impetus","nova_initiumia_catalyst_impetus","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Num","num","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Ontological Dependence","ontological_dependence","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Orca","orca","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Poison Vial","poison_vial","hardware","runner","Installable","Runner install AI handles selection"
"Post-Truth Dividend","post_truth_dividend","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Pulse","pulse","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Raindrops Cut Stone","raindrops_cut_stone","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Reaper Function","reaper_function","asset","corp","Installable","SCG installs; no modeled click ability"
"Regulatory Capture","regulatory_capture","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Reprise","reprise","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Shipment from Vladisibirsk","shipment_from_vladisibirsk","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Simulation Reset","simulation_reset","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Spark of Inspiration","spark_of_inspiration","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Superdeep Borehole","superdeep_borehole","asset","corp","Installable","SCG installs; no modeled click ability"
"Thule Subsea: Safety Below","thule_subsea_safety_below","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Time Bomb","time_bomb","hardware","runner","Installable","Runner install AI handles selection"
"Tremolo","tremolo","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Tsakhia ""Bankhar"" Gantulga","tsakhia_bankhar_gantulga","resource","runner","Installable","Runner install AI handles selection"
"Tunnel Vision","tunnel_vision","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Unsmiling Tsarevna","unsmiling_tsarevna","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Vampyronassa","vampyronassa","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Vera Ivanovna Shuyskaya","vera_ivanovna_shuyskaya","asset","corp","Installable","SCG installs; no modeled click ability"
"WAKE Implant v2A-JRJ","wake_implant_v2a_jrj","hardware","runner","Installable","Runner install AI handles selection"
"World Tree","world_tree","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Yakov Erikovich Avdakov","yakov_erikovich_avdakov","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"ZATO City Grid","zato_city_grid","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Zenit Chip JZ-2MJ","zenit_chip_jz_2mj","hardware","runner","Installable","Runner install AI handles selection"
