"","text_code","name","text"
"1","aggressive_trendsetting","Aggressive Trendsetting","The first time the Runner trashes an installed Corp card during each of their turns, they may spend [click]. If they do not, you get +1 allotted [click] for your next turn."
"2","anthill_excavation_contract","Anthill Excavation Contract","When you rez this asset, load 8[credit] onto it. When it is empty, trash it.
When your turn begins, take 4[credit] from this asset and draw 1 card."
"3","au_co_the_gold_standard_in_clones","AU Co.: The Gold Standard in Clones","Whenever you do damage or trash 1 or more cards from HQ, place 1 power counter on this identity.
When your turn begins, you may remove 2 hosted power counters to look at the top 3 cards of R&D. Trash 1 of those cards and add the rest to HQ."
"4","azimat","Azimat","2[recurring-credit] <em>(When you install this program and before your turn begins, refill to 2 hosted credits.)</em>
You can spend hosted credits to pay trash costs."
"5","bangun_when_disaster_strikes","BANGUN: When Disaster Strikes","You may install agendas faceup. <em>(This does not make their abilities active.)</em>
Whenever the Runner accesses a faceup installed agenda, do 2 meat damage and give the Runner 1 tag."
"6","barry_baz_wong_tri_maf_veteran","Barry “Baz” Wong: Tri-Maf Veteran","Whenever the Corp rezzes a piece of ice, you may install 1 resource or piece of hardware from your grip."
"7","biawak","Biawak","You can forfeit 1 agenda as you rez this ice to pay for 10[credit] of its rez cost.
[subroutine] Trash 1 installed program or end the run.
[subroutine] Trash 1 installed resource or end the run.
[subroutine] End the run."
"8","bigger_picture","Bigger Picture","Play only if the Runner is tagged.
Resolve 1 of the following:<ul><li>Give the Runner 1 tag.</li><li>Remove any number of tags. The Runner loses 5[credit] for each tag removed this way. Gain credits equal to the number of credits the Runner lost.</li></ul>"
"9","bling","Bling","+1[mu]
Whenever you install a card without spending credits, you may host the top card of your stack faceup on this hardware. <em>(It is not installed.)</em>
You can play or install hosted cards as if they were in your grip.
When your discard phase ends, trash all hosted cards.
Limit 1 <strong>console</strong> per player."
"10","bumi_1_0","Bumi 1.0","When you rez this ice during a run against this server, you may trash 1 installed <strong>trojan</strong> program.
<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Trash 1 installed program.
[subroutine] Do 1 core damage."
"11","byte","Byte!","While the Runner is accessing this asset in R&D, they must reveal it.
When the Runner accesses this asset anywhere except in Archives, you may pay 4[credit]. If you do, give the Runner 1 tag and do 3 net damage."
"12","cacophony","Cacophony","The first time each turn you steal or trash a Corp card, place 1 power counter on this resource.
When your action phase ends, you may remove 2 hosted power counters to sabotage 3. <em>(The Corp trashes 3 cards of their choice from HQ and/or the top of R&D.)</em>"
"13","charm_offensive","Charm Offensive","Run Archives. When that run ends, you may trash 1 rezzed copy of a card you accessed in Archives during that run."
"14","chromatophores","Chromatophores","Install only on a piece of ice.
Host ice gains <strong>barrier</strong>, <strong>code gate</strong>, and <strong>sentry</strong>."
"15","clean_getaway","Clean Getaway","Run any server. If successful, gain 6[credit]."
"16","detente","Detente","+1[mu]
The first time each turn you make a successful run on HQ, you may host 1 card from HQ at random faceup on this hardware. <em>(It is not installed or rezzed.)</em>
[click], <strong>add 2 hosted cards to HQ:</strong> The Runner may access 1 card in HQ at random. Any player can use this ability.
Limit 1 <strong>console</strong> per player."
"17","devadatta_drone","Devadatta Drone","When you install this program, place 2 power counters on it.
Whenever you breach R&D, you may remove 1 hosted power counter to access 1 additional card."
"18","dewi_subrotoputri_pedagogical_dhalang","Dewi Subrotoputri: Pedagogical Dhalang","Whenever you make a successful run, if your [mu] is full, you may flip this identity and gain 1[credit]."
