"","text_code","name","text"
"1","afterimage","Afterimage","Once per turn → When you encounter a <strong>sentry</strong>, you may pay 2[credit] to bypass it. Spend credits only from <strong>stealth</strong> cards to use this ability.
Interface → <strong>1[credit]:</strong> Break up to 2 <strong>sentry</strong> subroutines.
<strong>1[credit]:</strong> +2 strength. Spend credits only from <strong>stealth</strong> cards to use this ability."
"2","akhet","Akhet","You can advance this ice.
While there are 3 or more hosted advancement counters, this ice gets +3 strength and the Runner cannot break more than 1 of its printed subroutines during each encounter.
[subroutine] Gain 1[credit]. Place 1 advancement counter on an installed card.
[subroutine] End the run."
"3","aniccam","Aniccam","+1[mu]
The first time each turn an event is trashed <em>(from any location)</em>, draw 1 card.
Limit 1 <strong>console</strong> per player."
"4","argus_crackdown","Argus Crackdown","Play only if there is no active <strong>lockdown</strong>. This operation is not trashed until your next turn begins.
Whenever the Runner makes a successful run on a server protected by ice, do 2 meat damage."
"5","bass_ch1r180g4","Bass CH1R180G4","[click], <strong>[trash]:</strong> Gain [click][click]."
"6","bellona","Bellona","As an additional cost to steal this agenda, the Runner must pay 5[credit].
When you score this agenda, gain 5[credit]."
"7","boomerang","Boomerang","When you install this hardware, choose 1 installed piece of ice. Use this hardware only during encounters with that ice.
<strong>[trash]:</strong> Break up to 2 subroutines. When this run ends, if it was successful, you may shuffle 1 copy of Boomerang from your heap into your stack."
"8","bravado","Bravado","Run a server protected by ice. When that run ends, gain 6[credit] plus 1[credit] for each piece of ice you passed during that run."
"9","buffer_drive","Buffer Drive","The first time each turn 1 or more cards are trashed from your grip or stack, you may add 1 of those cards to the bottom of your stack.
<strong>Remove this hardware from the game:</strong> Add 1 card from your heap to the top of your stack."
"10","cayambe_grid","Cayambe Grid","When your turn begins, place 1 advancement counter on a piece of ice protecting this server.
Whenever the Runner approaches this server, end the run unless they pay 2[credit] for each advanced piece of ice protecting this server.
Limit 1 <strong>region</strong> per server."
"11","cerebral_overwriter","Cerebral Overwriter","You can advance this asset.
When the Runner accesses this asset while it is installed, you may pay 3[credit] to do X core damage. X is equal to the number of hosted advancement counters."
"12","colossus","Colossus","You can advance this ice. It gets +1 strength for each hosted advancement counter.
[subroutine] Give the Runner 1 tag. If there are 3 or more hosted advancement counters, instead give the Runner 2 tags.
[subroutine] Trash 1 installed program. If there are 3 or more hosted advancement counters, instead trash 1 installed program and 1 installed resource."
"13","cordyceps","Cordyceps","When you install this program, place 2 virus counters on it.
Once per turn → When you make a successful run on a central server, you may remove 1 hosted virus counter to swap 1 piece of ice protecting that server with another installed piece of ice."
"14","cyberdex_sandbox","Cyberdex Sandbox","The first time each turn you purge virus counters, gain 4[credit].
When you score this agenda, you may purge virus counters."
"15","cybertrooper_talut","Cybertrooper Talut","+1[link]
Whenever you install a non-<strong>AI</strong> <strong>icebreaker</strong>, that <strong>icebreaker</strong> gets +2 strength for the remainder of the turn."
"16","daily_casts","Daily Casts","When you install this resource, load 8[credit] onto it. When it is empty, trash it.
When your turn begins, take 2[credit] from this resource."
"17","devil_charm","Devil Charm","Whenever you encounter a piece of ice, you may remove this hardware from the game. If you do, that ice gets −6 strength for the remainder of this run."
"18","digital_rights_management","Digital Rights Management","Play only if the Runner did not make a successful run on HQ during their last turn.
Search R&D for 1 agenda and reveal it. <em>(Shuffle R&D after searching it.)</em> Add that agenda to HQ. You may install 1 card from HQ in the root of a remote server.
You cannot score agendas for the remainder of the turn."
"19","drafter","Drafter","[subroutine] You may add 1 card from Archives to HQ.
[subroutine] You may install 1 card from Archives or HQ, ignoring all costs."
"20","dreamnet","DreamNet","The first time each turn you make a successful run, draw 1 card. If your identity is <strong>digital</strong> or you have at least 2[link], also gain 1[credit]."
"21","earth_station_sea_headquarters","Earth Station: SEA Headquarters","Limit 1 remote server.
As an additional cost to run HQ, the Runner must pay 1[credit].
<strong>[click]:</strong> Flip this identity."
"22","engram_flush","Engram Flush","When the Runner encounters this ice, choose a card type. For the remainder of the encounter, whenever you reveal the grip with a subroutine on this ice, you may trash 1 revealed card of the chosen type.
[subroutine] Reveal the grip.
[subroutine] Reveal the grip."
"23","euler","Euler","Interface → <strong>0[credit]:</strong> Break 1 <strong>code gate</strong> subroutine. Use this ability only if this program was installed this turn.
Interface → <strong>2[credit]:</strong> Break up to 2 <strong>code gate</strong> subroutines.
<strong>1[credit]:</strong> +1 strength."
"24","f2p","F2P","<strong>2[credit]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability, and only if they are not tagged.
[subroutine] Add 1 installed Runner card to the grip.
[subroutine] Give the Runner 1 tag."
"25","false_lead","False Lead","<strong>Forfeit this agenda:</strong> If the Runner has 2 or more [click] remaining, they lose [click][click]."
