"Name","ID","Type","Side","Coverage","Notes"
"Aggressive Trendsetting","aggressive_trendsetting","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Anthill Excavation Contract","anthill_excavation_contract","asset","corp","Installable","SCG installs; no modeled click ability"
"AU Co.: The Gold Standard in Clones","au_co_the_gold_standard_in_clones","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Azimat","azimat","program","runner","Installable","Runner install AI handles selection and MU tracking"
"BANGUN: When Disaster Strikes","bangun_when_disaster_strikes","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Barry “Baz” Wong: Tri-Maf Veteran","barry_baz_wong_tri_maf_veteran","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Biawak","biawak","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Bigger Picture","bigger_picture","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Bling","bling","hardware","runner","Installable","Runner install AI handles selection"
"Bumi 1.0","bumi_1_0","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Byte!","byte","asset","corp","Installable","SCG installs; no modeled click ability"
"Cacophony","cacophony","resource","runner","Installable","Runner install AI handles selection"
"Charm Offensive","charm_offensive","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Chromatophores","chromatophores","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Clean Getaway","clean_getaway","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Detente","detente","hardware","runner","Installable","Runner install AI handles selection"
"Devadatta Drone","devadatta_drone","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Dewi Subrotoputri: Pedagogical Dhalang","dewi_subrotoputri_pedagogical_dhalang","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Doomscroll","doomscroll","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Embedded Reporting","embedded_reporting","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Empiricist","empiricist","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Flyswatter","flyswatter","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Fransofia Ward","fransofia_ward","resource","runner","Installable","Runner install AI handles selection"
"GAMEDRAGON™ Pro","gamedragon_pro","hardware","runner","Installable","Runner install AI handles selection"
"Gourmand","gourmand","program","runner","Installable","Runner install AI handles selection and MU tracking"
