"Name","ID","Type","Side","Coverage","Notes"
"A Teia: IP Recovery","a_teia_ip_recovery","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Ablative Barrier","ablative_barrier","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Adrian Seis","adrian_seis","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"AirbladeX (JSRF Ed.)","airbladex_jsrf_ed","hardware","runner","Installable","Runner install AI handles selection"
"Angelique Garza Correa","angelique_garza_correa","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Arissana Rocha Nahu: Street Artist","arissana_rocha_nahu_street_artist","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Armed Asset Protection","armed_asset_protection","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Attini","attini","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Audrey v2","audrey_v2","program","runner","Installable","Runner install AI handles selection and MU tracking"
"B-1001","b_1001","asset","corp","Installable","SCG installs; no modeled click ability"
"Bahia Bands","bahia_bands","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Balanced Coverage","balanced_coverage","asset","corp","Installable","SCG installs; no modeled click ability"
"Banner","banner","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Beatriz Friere Gonzalez","beatriz_friere_gonzalez","resource","runner","Installable","Runner install AI handles selection"
"Behold!","behold","asset","corp","Installable","SCG installs; no modeled click ability"
"Capybara","capybara","hardware","runner","Installable","Runner install AI handles selection"
"Chrysopoeian Skimming","chrysopoeian_skimming","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Curupira","curupira","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Cybersand Harvester","cybersand_harvester","asset","corp","Installable+Click","SCG installs; click ability detected and offered in snap"
"Daniela Jorge Inácio","daniela_jorge_inacio","upgrade","corp","Installable","SCG installs; defensive value approximated in evaluate()"
"Debbie ""Downtown"" Moreira","debbie_downtown_moreira","resource","runner","Installable","Runner install AI handles selection"
"Epiphany Analytica: Nations Undivided","epiphany_analytica_nations_undivided","identity","corp","Identity","Identity abilities partially modeled in evaluator match block"
"Eru Ayase-Pessoa","eru_ayase_pessoa","resource","runner","Installable","Runner install AI handles selection"
"Federal Fundraising","federal_fundraising","asset","corp","Installable","SCG installs; no modeled click ability"
"Front Company","front_company","asset","corp","Installable","SCG installs; no modeled click ability"
"Fujii Asset Retrieval","fujii_asset_retrieval","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Greasing the Palm","greasing_the_palm","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Hannah ""Wheels"" Pilintra","hannah_wheels_pilintra","resource","runner","Installable","Runner install AI handles selection"
"Hermes","hermes","hardware","runner","Installable","Runner install AI handles selection"
"Jaguarundi","jaguarundi","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Joy Ride","joy_ride","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Lago Paranoá Shelter","lago_paranoa_shelter","resource","runner","Installable","Runner install AI handles selection"
"Laser Pointer","laser_pointer","program","runner","Installable","Runner install AI handles selection and MU tracking"
"LilyPAD","lilypad","hardware","runner","Installable","Runner install AI handles selection"
"Living Mural","living_mural","program","runner","Installable","Runner install AI handles selection and MU tracking"
"M.I.C.","m_i_c","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Mercury: Chrome Libertador","mercury_chrome_libertador","identity","runner","Identity","Identity abilities partially modeled in evaluator match block"
"Mindscaping","mindscaping","operation","corp","Auto (partial)","Partial auto-projection; complex effects not captured"
"Monkeywrench","monkeywrench","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Oppo Research","oppo_research","operation","corp","Explicit","Specific projection in project_corp_action match block"
"Oracle Thinktank","oracle_thinktank","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Phoneutria","phoneutria","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Pichação","pichacao","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Pivot","pivot","operation","corp","Explicit","Specific projection in project_corp_action match block"
"S-Dobrado","s_dobrado","event","runner","Hint","Fully modeled via AiCardHints snap_delta + conditions"
"Saci","saci","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Salvo Testing","salvo_testing","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Shibboleth","shibboleth","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Slap Vandal","slap_vandal","program","runner","Installable","Runner install AI handles selection and MU tracking"
"Slash and Burn Agriculture","slash_and_burn_agriculture","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Solidarity Badge","solidarity_badge","hardware","runner","Installable","Runner install AI handles selection"
"Starlit Knight","starlit_knight","ice","corp","Installable","SCG installs; CorpRunAI handles encounters; subtype tracked in snap"
"Stegodon MK IV","stegodon_mk_iv","agenda","corp","Installable","SCG installs, advances, scores; on-score effects not projected"
"Strike Fund","strike_fund","event","runner","Auto (full)","Complete projection auto-derived from abilities.json"
