"","text_code","name","text"
"1","aircheck","Aircheck","Place 4[credit] on this event. While this event is active, you can spend hosted credits, and you cannot lose or spend credits from your credit pool.
Run HQ or R&D.
When that run ends, if it was successful, you may run a remote server."
"2","ansel_2_0","Ansel 2.0","<strong>Lose [click][click]:</strong> Break up to 2 subroutines on this ice. Only the Runner can use this ability.
[subroutine] Trash 1 installed Runner card.
[subroutine] Remove 1 card in the heap from the game.
[subroutine] You may install 1 card from HQ or Archives.
[subroutine] End the run."
"3","baker","Baker","Once per turn → [click]<strong>:</strong> Run Archives. When you would approach Archives <em>(after passing all ice)</em>, you may pay 1[credit] to instead change the attacked server to HQ or R&D and approach that server. Spend credits only from <strong>stealth</strong> cards to pay this cost."
"4","beta_build","Beta Build","Search your stack for 1 non-<strong>virus</strong> program. Install it, ignoring all costs. <em>(Shuffle your stack after searching it.)</em>
Run any server. When that run ends, if that program has not been uninstalled, add it to the top of your stack."
"5","borrowed_goods","Borrowed Goods","+1[mu]
When you install this hardware, if you are not tagged, take 1 tag."
"6","caveat_emptor","Caveat Emptor","Resolve 1 of the following:
<ul><li>Gain 6[credit]. The Runner gets −1 allotted [click] for their next turn.</li><li>Gain 10[credit]. The Runner gets +1 allotted [click] for their next turn.</li></ul>"
"7","chain_reaction","Chain Reaction","Play only if you made a successful run on HQ, R&D, and Archives this turn.
Trash 2 installed Corp cards. The Corp trashes 1 installed Runner card."
"8","corsair","Corsair","Interface → <strong>1[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>1[credit]:</strong> The <strong>barrier</strong> you are encountering gets −3 strength for the remainder of this encounter. Spend credits only from <strong>stealth</strong> cards to use this ability."
"9","cultivate","Cultivate","Look at the top 5 cards of R&D. Trash 1 of those cards, add 1 of them to HQ, and arrange the rest in any order."
"10","editorial_division_ad_nihilum","Editorial Division: Ad Nihilum","The first time each turn you take bad publicity, you may search R&D for 1 non-agenda <strong>black ops</strong>, <strong>gray ops</strong>, or <strong>liability</strong> card and reveal it. <em>(Shuffle R&D after searching it.)</em> Add that card to HQ."
"11","esca","Esca","While the Runner is accessing this asset in R&D, they must reveal it.
When the Runner accesses this asset, they lose 1[credit]. If they are tagged, do 1 net damage."
"12","event_horizon","Event Horizon","[trash]<strong>:</strong> End the run. Use this ability only during a run against this server.
[subroutine] Trash 1 installed program unless the Runner pays 3[credit].
[subroutine] End the run unless the Runner pays 3[credit]."
"13","ezam","ezaM","[click]<strong>:</strong> Swap this ice with another installed piece of ice.
[subroutine] Look at the top card of R&D. You may add that card to the bottom of R&D.
[subroutine] Each piece of ice gets +1 strength for the remainder of this run."
"14","flagship","Flagship","HQ or R&D only.
Runs against this server cannot be declared successful. <em>(This effect does not cause runs to become unsuccessful.)</em>
Persistent → During each run against this server, the Runner cannot access more than 1 card other than this upgrade."
"15","flood_the_market","Flood the Market","As an additional cost to play this operation, spend [click].
Choose 1 installed card you can advance. Place 1 advancement counter on that card for each remote server that has a card in its root and is protected by ice."
"16","flywheel","Flywheel","[subroutine] Gain 1[credit]. You may draw 1 card.
[subroutine] Gain 1[credit]. You may draw 1 card."
"17","grubber","Grubber","When you rez this ice, if it is protecting a central server, take 1 bad publicity.
[subroutine] End the run unless the Runner pays 3[credit].
[subroutine] End the run unless the Runner pays 3[credit]."
"18","hackerspace","Hackerspace","You can install unique <em>(♦)</em> <strong>companion</strong> resources and unique <em>(♦)</em> <strong>connection</strong> resources onto this resource. Each resource installed this way costs 1[credit] less to install.
While this resource has a hosted <strong>companion</strong> and a hosted <strong>connection</strong>, you get +2 maximum hand size."
"19","hiram_0mission_svensson_shadow_of_the_past","Hiram “0mission” Svensson: Shadow of the Past","Whenever you install or trash a piece of hardware <em>(from any location)</em>, look at the top card of R&D."
